timestamp,speed,volume,hour,day_of_week
2012-10-02 09:00:00,16.5,55.4,9,1
2012-10-02 10:00:00,24.5,45.2,10,1
2012-10-02 11:00:00,24.8,47.7,11,1
2012-10-02 12:00:00,22.5,50.3,12,1
2012-10-02 13:00:00,19.3,49.2,13,1
2012-10-02 14:00:00,17.7,51.8,14,1
2012-10-02 15:00:00,15.9,55.8,15,1
2012-10-02 16:00:00,11.0,60.2,16,1
2012-10-02 17:00:00,13.7,57.9,17,1
2012-10-02 18:00:00,22.3,47.7,18,1
2012-10-02 19:00:00,36.9,35.4,19,1
2012-10-02 20:00:00,44.1,27.8,20,1
2012-10-02 21:00:00,47.1,23.6,21,1
2012-10-02 22:00:00,56.8,15.3,22,1
2012-10-02 23:00:00,61.3,9.6,23,1
2012-10-03 00:00:00,63.8,5.1,0,2
2012-10-03 01:00:00,67.4,3.2,1,2
2012-10-03 02:00:00,65.9,2.7,2,2
2012-10-03 03:00:00,67.7,3.7,3,2
2012-10-03 04:00:00,62.0,8.1,4,2
2012-10-03 05:00:00,43.3,27.2,5,2
2012-10-03 06:00:00,13.8,56.7,6,2
2012-10-03 08:00:00,10.0,65.1,8,2
2012-10-03 09:00:00,16.6,54.7,9,2
2012-10-03 12:00:00,19.8,51.0,12,2
2012-10-03 13:00:00,22.0,48.9,13,2
2012-10-03 14:00:00,18.9,53.4,14,2
2012-10-03 15:00:00,15.2,56.9,15,2
2012-10-03 16:00:00,11.0,61.4,16,2
2012-10-03 18:00:00,25.7,46.2,18,2
2012-10-03 19:00:00,38.3,35.9,19,2
2012-10-03 20:00:00,41.2,29.0,20,2
2012-10-03 21:00:00,43.6,26.4,21,2
2012-10-03 22:00:00,51.5,17.8,22,2
2012-10-03 23:00:00,61.1,10.2,23,2
2012-10-04 00:00:00,65.9,6.0,0,3
2012-10-04 01:00:00,66.2,3.7,1,3
2012-10-04 02:00:00,65.7,3.1,2,3
2012-10-04 03:00:00,65.2,3.7,3,3
2012-10-04 04:00:00,62.9,8.4,4,3
2012-10-04 05:00:00,44.6,27.3,5,3
2012-10-04 06:00:00,15.5,56.9,6,3
2012-10-04 07:00:00,10.0,69.9,7,3
2012-10-04 08:00:00,12.2,59.8,8,3
2012-10-04 09:00:00,18.6,53.1,9,3
2012-10-04 10:00:00,25.6,46.0,10,3
2012-10-04 11:00:00,23.8,48.8,11,3
2012-10-04 12:00:00,20.7,51.0,12,3
2012-10-04 13:00:00,20.7,51.8,13,3
2012-10-04 14:00:00,16.6,55.0,14,3
2012-10-04 15:00:00,14.9,57.1,15,3
2012-10-04 16:00:00,10.0,62.9,16,3
2012-10-04 17:00:00,10.0,60.6,17,3
2012-10-04 18:00:00,21.8,49.1,18,3
2012-10-04 19:00:00,35.2,35.0,19,3
2012-10-04 20:00:00,39.5,30.4,20,3
2012-10-04 21:00:00,42.2,28.2,21,3
2012-10-04 22:00:00,52.9,19.9,22,3
2012-10-04 23:00:00,57.4,11.7,23,3
2012-10-05 00:00:00,65.4,6.3,0,4
2012-10-05 01:00:00,63.7,3.9,1,4
2012-10-05 03:00:00,65.9,3.7,3,4
2012-10-05 05:00:00,46.0,24.9,5,4
2012-10-05 06:00:00,17.0,55.4,6,4
2012-10-05 07:00:00,10.0,66.3,7,4
2012-10-05 08:00:00,17.4,55.3,8,4
2012-10-05 09:00:00,16.9,54.0,9,4
2012-10-05 10:00:00,22.9,47.7,10,4
2012-10-05 11:00:00,20.6,52.2,11,4
2012-10-05 12:00:00,12.6,58.7,12,4
2012-10-05 13:00:00,10.1,59.7,13,4
2012-10-05 14:00:00,10.0,61.1,14,4
2012-10-05 15:00:00,10.0,61.3,15,4
2012-10-05 16:00:00,11.7,60.7,16,4
2012-10-05 17:00:00,10.2,61.7,17,4
2012-10-05 18:00:00,18.7,53.8,18,4
2012-10-05 19:00:00,29.9,40.6,19,4
2012-10-05 20:00:00,37.5,33.6,20,4
2012-10-05 21:00:00,42.1,29.7,21,4
2012-10-05 22:00:00,45.7,24.5,22,4
2012-10-05 23:00:00,52.9,18.3,23,4
2012-10-06 00:00:00,57.0,12.3,0,5
2012-10-06 01:00:00,62.5,7.2,1,5
2012-10-06 02:00:00,64.1,5.4,2,5
2012-10-06 04:00:00,64.2,4.1,4,5
2012-10-06 05:00:00,64.0,6.9,5,5
2012-10-06 06:00:00,56.2,13.5,6,5
2012-10-06 07:00:00,49.9,20.7,7,5
2012-10-06 08:00:00,38.2,33.4,8,5
2012-10-06 09:00:00,29.3,42.6,9,5
2012-10-06 10:00:00,23.7,48.6,10,5
2012-10-06 11:00:00,19.4,51.9,11,5
2012-10-06 12:00:00,14.2,56.7,12,5
2012-10-06 13:00:00,20.5,50.7,13,5
2012-10-06 14:00:00,18.6,50.2,14,5
2012-10-06 15:00:00,17.7,51.5,15,5
2012-10-06 16:00:00,19.2,50.2,16,5
2012-10-06 17:00:00,22.0,47.8,17,5
2012-10-06 18:00:00,28.2,43.6,18,5
2012-10-06 19:00:00,31.1,38.6,19,5
2012-10-06 20:00:00,38.7,31.6,20,5
2012-10-06 21:00:00,42.9,29.9,21,5
2012-10-06 22:00:00,38.3,32.0,22,5
2012-10-06 23:00:00,52.2,19.4,23,5
2012-10-07 00:00:00,56.6,12.3,0,6
2012-10-07 03:00:00,66.6,3.2,3,6
2012-10-07 04:00:00,65.5,3.1,4,6
2012-10-07 05:00:00,63.4,6.3,5,6
2012-10-07 06:00:00,56.6,15.1,6,6
2012-10-07 07:00:00,52.4,15.4,7,6
2012-10-07 08:00:00,49.0,22.3,8,6
2012-10-07 09:00:00,25.9,45.7,9,6
2012-10-07 10:00:00,24.2,46.2,10,6
2012-10-07 11:00:00,23.8,45.3,11,6
2012-10-07 12:00:00,20.1,51.4,12,6
2012-10-07 13:00:00,10.0,66.4,13,6
2012-10-07 14:00:00,10.0,65.9,14,6
2012-10-07 15:00:00,27.0,44.3,15,6
2012-10-07 16:00:00,30.3,43.3,16,6
2012-10-07 17:00:00,32.4,38.3,17,6
2012-10-07 18:00:00,29.4,40.2,18,6
2012-10-07 19:00:00,37.4,33.8,19,6
2012-10-07 20:00:00,43.0,28.2,20,6
2012-10-07 21:00:00,51.5,21.1,21,6
2012-10-07 22:00:00,56.1,15.6,22,6
2012-10-07 23:00:00,61.2,9.6,23,6
2012-10-08 00:00:00,67.8,4.6,0,0
2012-10-08 01:00:00,65.0,3.4,1,0
2012-10-08 02:00:00,66.5,2.6,2,0
2012-10-08 03:00:00,65.6,3.1,3,0
2012-10-08 04:00:00,61.8,7.8,4,0
2012-10-08 05:00:00,42.9,25.7,5,0
2012-10-08 06:00:00,16.9,55.6,6,0
2012-10-08 07:00:00,10.0,66.8,7,0
2012-10-08 08:00:00,10.0,59.7,8,0
2012-10-08 09:00:00,21.5,48.3,9,0
2012-10-08 10:00:00,27.7,44.0,10,0
2012-10-08 11:00:00,28.4,44.1,11,0
2012-10-08 12:00:00,27.8,46.5,12,0
2012-10-08 13:00:00,29.6,46.0,13,0
2012-10-08 14:00:00,20.8,51.2,14,0
2012-10-08 15:00:00,15.0,55.0,15,0
2012-10-08 16:00:00,10.0,59.8,16,0
2012-10-08 17:00:00,15.3,56.6,17,0
2012-10-08 18:00:00,27.4,42.6,18,0
2012-10-08 19:00:00,39.5,30.7,19,0
2012-10-08 20:00:00,46.0,23.8,20,0
2012-10-08 21:00:00,50.1,20.3,21,0
2012-10-08 22:00:00,58.0,14.0,22,0
2012-10-08 23:00:00,61.3,9.2,23,0
2012-10-09 00:00:00,64.8,5.2,0,1
2012-10-09 01:00:00,65.5,3.0,1,1
2012-10-09 02:00:00,65.0,2.5,2,1
2012-10-09 04:00:00,61.5,8.0,4,1
2012-10-09 05:00:00,43.9,26.8,5,1
2012-10-09 06:00:00,16.9,57.3,6,1
2012-10-09 07:00:00,10.0,64.5,7,1
2012-10-09 08:00:00,15.4,57.6,8,1
2012-10-09 09:00:00,14.8,56.0,9,1
2012-10-09 10:00:00,24.1,45.3,10,1
2012-10-09 11:00:00,22.9,46.9,11,1
2012-10-09 12:00:00,19.6,50.7,12,1
2012-10-09 13:00:00,24.3,50.3,13,1
2012-10-09 14:00:00,17.2,53.0,14,1
2012-10-09 15:00:00,15.1,57.8,15,1
2012-10-09 16:00:00,10.0,63.5,16,1
2012-10-09 17:00:00,11.8,61.3,17,1
2012-10-09 18:00:00,27.2,44.6,18,1
2012-10-09 19:00:00,36.5,34.2,19,1
2012-10-09 20:00:00,43.0,27.8,20,1
2012-10-09 21:00:00,46.6,23.1,21,1
2012-10-09 22:00:00,52.7,18.5,22,1
2012-10-09 23:00:00,60.1,9.5,23,1
2012-10-10 00:00:00,63.4,4.9,0,2
2012-10-10 01:00:00,64.9,3.3,1,2
2012-10-10 02:00:00,67.7,2.6,2,2
2012-10-10 03:00:00,68.9,3.6,3,2
2012-10-10 06:00:00,13.1,58.8,6,2
2012-10-10 07:00:00,10.0,67.9,7,2
2012-10-10 08:00:00,10.0,62.8,8,2
2012-10-10 09:00:00,16.7,56.8,9,2
2012-10-10 10:00:00,25.3,46.3,10,2
2012-10-10 11:00:00,21.9,48.9,11,2
2012-10-10 12:00:00,22.8,50.3,12,2
2012-10-10 13:00:00,21.4,50.7,13,2
2012-10-10 14:00:00,21.5,52.3,14,2
2012-10-10 15:00:00,15.7,56.1,15,2
2012-10-10 16:00:00,10.0,62.9,16,2
2012-10-10 18:00:00,21.5,47.8,18,2
2012-10-10 19:00:00,40.0,33.4,19,2
2012-10-10 20:00:00,43.3,30.1,20,2
2012-10-10 21:00:00,44.4,26.0,21,2
2012-10-10 22:00:00,50.9,19.1,22,2
2012-10-10 23:00:00,62.1,10.4,23,2
2012-10-11 01:00:00,65.0,3.5,1,3
2012-10-11 03:00:00,65.3,3.5,3,3
2012-10-11 04:00:00,62.7,8.5,4,3
